Precursor Neutral Formula,Area,Product Mz,Replicate
C10H17Cl5,779911680,348.943769,Cal_B_2_RA7_01_3346
C10H17Cl5,1119943424,348.943769,Cal_B_3_RA8_01_3347
C10H17Cl5,139338256,348.943769,Cal_C_1_RB1_01_3348
C10H17Cl5,203605424,348.943769,Cal_C_2_RB2_01_3349
C10H17Cl5,280631776,348.943769,Cal_C_3_RB3_01_3350
C10H17Cl5,233720416,348.943769,Lard-B_RC3_01_3321
C10H17Cl5,270114016,348.943769,Lard-D_RC4_01_3322
C10H17Cl5,159155856,348.943769,pork-1_RB8_01_3318
C10H17Cl5,192515296,348.943769,pork-2_RC1_01_3319
C10H17Cl5,247904736,348.943769,pork-3_RC2_01_3320
C10H16Cl6,86606448,382.904793,Blank_procedure_RB7_01_3317
C10H16Cl6,278012576,382.904793,Cal_A_1_RA3_01_3342
C10H16Cl6,1111179776,382.904793,Cal_A_2_RA4_01_3343
C10H16Cl6,1945020928,382.904793,Cal_A_3_RA5_01_3344
C10H16Cl6,722330432,382.904793,Cal_B_1_RA6_01_3345
C10H16Cl6,1623435776,382.904793,Cal_B_2_RA7_01_3346
C10H16Cl6,2751669248,382.904793,Cal_B_3_RA8_01_3347
C10H16Cl6,831309568,382.904793,Cal_C_1_RB1_01_3348
C10H16Cl6,1831585920,382.904793,Cal_C_2_RB2_01_3349
C10H16Cl6,2956479488,382.904793,Cal_C_3_RB3_01_3350
C10H16Cl6,341144896,382.904793,Lard-B_RC3_01_3321
C10H16Cl6,316752576,382.904793,Lard-D_RC4_01_3322
C10H16Cl6,170313984,382.904793,pork-1_RB8_01_3318
C10H16Cl6,179318304,382.904793,pork-2_RC1_01_3319
C10H16Cl6,271060736,382.904793,pork-3_RC2_01_3320
C10H16Cl6,83676680,384.901875,Blank_procedure_RB7_01_3317
C10H16Cl6,271393824,384.901875,Cal_A_1_RA3_01_3342
C10H16Cl6,1091143296,384.901875,Cal_A_2_RA4_01_3343
C10H16Cl6,1910138752,384.901875,Cal_A_3_RA5_01_3344
C10H16Cl6,713127040,384.901875,Cal_B_1_RA6_01_3345
C10H16Cl6,1618495104,384.901875,Cal_B_2_RA7_01_3346
C10H16Cl6,2726971904,384.901875,Cal_B_3_RA8_01_3347
C10H16Cl6,823593856,384.901875,Cal_C_1_RB1_01_3348
C10H16Cl6,1824009728,384.901875,Cal_C_2_RB2_01_3349
C10H16Cl6,2918276864,384.901875,Cal_C_3_RB3_01_3350
C10H16Cl6,330492064,384.901875,Lard-B_RC3_01_3321
C10H16Cl6,308536480,384.901875,Lard-D_RC4_01_3322
C10H16Cl6,165735696,384.901875,pork-1_RB8_01_3318
C10H16Cl6,172939984,384.901875,pork-2_RC1_01_3319
C10H16Cl6,260674624,384.901875,pork-3_RC2_01_3320
C10H16Cl6,44247292,386.89897,Blank_procedure_RB7_01_3317
C10H16Cl6,145586176,386.89897,Cal_A_1_RA3_01_3342
C10H16Cl6,586919744,386.89897,Cal_A_2_RA4_01_3343
C10H16Cl6,1017496320,386.89897,Cal_A_3_RA5_01_3344
C10H16Cl6,380901952,386.89897,Cal_B_1_RA6_01_3345
C10H16Cl6,875006464,386.89897,Cal_B_2_RA7_01_3346
C10H16Cl6,1475001472,386.89897,Cal_B_3_RA8_01_3347
C10H16Cl6,442287232,386.89897,Cal_C_1_RB1_01_3348
C10H16Cl6,986390016,386.89897,Cal_C_2_RB2_01_3349
C10H16Cl6,1586627840,386.89897,Cal_C_3_RB3_01_3350
C10H16Cl6,175777024,386.89897,Lard-B_RC3_01_3321
C10H16Cl6,162083312,386.89897,Lard-D_RC4_01_3322
C10H16Cl6,88163776,386.89897,pork-1_RB8_01_3318
C10H16Cl6,93060960,386.89897,pork-2_RC1_01_3319
C10H16Cl6,139041984,386.89897,pork-3_RC2_01_3320
C10H15Cl7,41405456,416.865817,Blank_procedure_RB7_01_3317
C10H15Cl7,86465176,416.865817,Cal_A_1_RA3_01_3342
C10H15Cl7,354893632,416.865817,Cal_A_2_RA4_01_3343
C10H15Cl7,601376832,416.865817,Cal_A_3_RA5_01_3344
C10H15Cl7,318895360,416.865817,Cal_B_1_RA6_01_3345
C10H15Cl7,751691136,416.865817,Cal_B_2_RA7_01_3346
C10H15Cl7,1277372032,416.865817,Cal_B_3_RA8_01_3347
C10H15Cl7,1172668160,416.865817,Cal_C_1_RB1_01_3348
C10H15Cl7,2753223168,416.865817,Cal_C_2_RB2_01_3349
C10H15Cl7,4383048192,416.865817,Cal_C_3_RB3_01_3350
C10H15Cl7,140933104,416.865817,Lard-B_RC3_01_3321
